container_id,receptacle_model_id,assignment_date,last_updated_date,group_name,address,city,state,zip,neighborhood,dpw_division,council_district,ward,fire_zone,x,y
215,74,2017-09-21T10:50:21,2019-11-10T02:21:15,5th Division,1222 Arlington Ave,Pittsburgh,Pennsylvania,15210,Allentown,5,3,18,4-6,-79.99210003,40.42122326
802,74,2018-04-13T13:16:56,2019-11-10T03:27:23,5th Division,830 E Warrington Ave,Pittsburgh,Pennsylvania,15210,Allentown,5,3,18,4-6,-79.9925,40.42177
810,74,2018-04-13T13:16:57,2019-11-10T03:30:24,5th Division,804 E Warrington Ave,Pittsburgh,Pennsylvania,15210,Allentown,5,3,18,4-6,-79.99339134,40.42176611
224,74,2017-09-21T10:50:21,2019-11-10T14:20:27,5th Division,1230 Arlington Ave,Pittsburgh,Pennsylvania,15210,Allentown,5,3,18,4-6,-79.99197,40.420959
198,74,2017-09-21T10:50:20,2019-11-10T02:29:18,5th Division,705 E Warrington Ave,Pittsburgh,Pennsylvania,15210,Allentown,5,3,18,4-21,-79.99559107,40.42183965
1094,74,2018-07-27T13:19:01,2019-11-10T08:05:52,5th Division,8 Beltzhoover Ave,Pittsburgh,Pennsylvania,15203,Allentown,5,3,18,4-5,-79.99749434,40.42597824
656,74,2018-04-09T10:29:08,2019-11-10T03:08:33,5th Division,710 E Warrington Ave,Pittsburgh,Pennsylvania,15210,Allentown,5,3,18,4-21,-79.99519682,40.42173451
195,74,2017-09-21T10:50:20,2019-11-10T02:15:17,5th Division,2339 Spring Street,Pittsburgh,Pennsylvania,15210,Arlington,3,3,16,4-8,-79.97306924,40.41615003
122,74,2017-09-19T12:22:51,2019-11-10T03:01:21,5th Division,2940 Arlington Ave,Pittsburgh,Pennsylvania,15210,Arlington,3,3,16,4-22,-79.96573423,40.41728661
196,74,2017-09-21T10:50:20,2019-11-10T02:31:20,5th Division,2320 Arlington Ave,Pittsburgh,Pennsylvania,15210,Arlington,3,3,16,4-22,-79.9736505,40.41729637
