address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
"1000 BLOCK UVILLA ST PITTSBURGH, PA 15220",1,0,0,1,0,0,2016,8,3,Elliott,2,20,42003562600,5,6,1-17,40.4455761741809,-80.0383022479248
"1000 BLOCK VALONIA ST PITTSBURGH, PA 15220",1,0,1,0,0,0,2017,4,2,Elliott,2,20,42003562600,5,6,1-17,40.446490062726,-80.0369370939574
"1000 BLOCK VINIAL ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2017,2,4,Troy Hill,1,24,42003240600,1,1,1-5,40.4574858208335,-79.9926665531797
"1000 BLOCK WALACE AVE WILKINSBURG, PA 15221",1,0,1,0,0,0,2017,7,3,,,,42003561100,,OSC,3-20,40.4425107143642,-79.8788449045165
"1000 BLOCK WASHINGTON BLVD PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,5,5,Lincoln-Lemington-Belmar,9,12,42003120300,2,5,3-12,40.4626436496069,-79.9056021566716
"1000 BLOCK W NORTH AVE PITTSBURGH, PA 15233",1,0,1,0,0,0,2017,3,2,,,,,,1,,,
"1000 BLOCK WOODBINE ST PITTSBURGH, PA 15201",1,0,1,0,0,0,2015,12,2,,,,,,5,,,
"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",1,0,1,0,0,0,2015,9,1,Crafton Heights,2,28,42003281400,5,6,1-17,40.4458030664507,-80.0523889710639
"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",1,0,1,0,0,0,2016,8,6,Crafton Heights,2,28,42003281400,5,6,1-17,40.4458030664507,-80.0523889710639
"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",3,0,3,0,0,0,2016,2,6,Crafton Heights,2,28,42003281400,5,6,1-17,40.4458030664507,-80.0523889710639
"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",2,0,0,2,0,0,2016,9,6,Crafton Heights,2,28,42003281400,5,6,1-17,40.4458030664507,-80.0523889710639
"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",1,0,0,0,1,0,2015,6,2,Crafton Heights,2,28,42003281400,5,6,1-17,40.4458030664507,-80.0523889710639
"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",1,0,1,0,0,0,2016,10,0,Crafton Heights,2,28,42003281400,5,6,1-17,40.4458030664507,-80.0523889710639
"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",1,0,1,0,0,0,2018,6,3,Crafton Heights,2,28,42003281400,5,6,1-17,40.4458030664507,-80.0523889710639
"100 BLOCK 11TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2015,9,2,South Side Flats,3,17,42003170200,3,3,4-24,40.4274625663979,-79.9876285013227
"100 BLOCK 11TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2016,6,6,South Side Flats,3,17,42003170200,3,3,4-24,40.4274625663979,-79.9876285013227
